T9,adopted,low,high,fu
0.001,2.359E-62,1.414E-62,6.670E-62,2.199E+00
0.002,7.856E-48,4.903E-48,2.046E-47,2.084E+00
0.003,8.128E-41,5.195E-41,2.015E-40,2.017E+00
0.004,2.113E-36,1.373E-36,5.040E-36,1.967E+00
0.005,2.891E-33,1.908E-33,6.691E-33,1.926E+00
0.006,7.116E-31,4.764E-31,1.597E-30,1.891E+00
0.007,5.795E-29,3.912E-29,1.266E-28,1.861E+00
0.008,2.195E-27,1.490E-27,4.687E-27,1.834E+00
0.009,4.756E-26,3.246E-26,9.955E-26,1.811E+00
0.01,6.778E-25,4.632E-25,1.389E-24,1.790E+00
0.011,6.954E-24,4.751E-24,1.399E-23,1.772E+00
0.012,5.507E-23,3.751E-23,1.084E-22,1.756E+00
0.013,3.533E-22,2.396E-22,6.822E-22,1.742E+00
0.014,1.909E-21,1.285E-21,3.624E-21,1.729E+00
0.015,8.976E-21,5.994E-21,1.665E-20,1.714E+00
0.016,3.809E-20,2.539E-20,6.875E-20,1.689E+00
0.018,6.537E-19,4.587E-19,1.051E-18,1.550E+00
0.02,1.444E-17,1.040E-17,2.060E-17,1.413E+00
0.025,1.342E-14,9.739E-15,1.845E-14,1.420E+00
0.03,1.532E-12,1.121E-12,2.091E-12,1.438E+00
0.04,5.385E-10,3.974E-10,7.311E-10,1.454E+00
0.05,1.692E-08,1.251E-08,2.297E-08,1.454E+00
0.06,1.606E-07,1.186E-07,2.181E-07,1.445E+00
0.07,7.749E-07,5.724E-07,1.053E-06,1.423E+00
0.08,2.490E-06,1.846E-06,3.373E-06,1.387E+00
0.09,6.479E-06,4.924E-06,8.615E-06,1.337E+00
0.1,1.692E-05,1.378E-05,2.120E-05,1.246E+00
0.11,5.134E-05,4.528E-05,5.916E-05,1.147E+00
0.12,1.677E-04,1.534E-04,1.841E-04,1.096E+00
0.13,5.148E-04,4.754E-04,5.577E-04,1.083E+00
0.14,1.407E-03,1.302E-03,1.522E-03,1.081E+00
0.15,3.413E-03,3.158E-03,3.689E-03,1.081E+00
0.16,7.429E-03,6.877E-03,8.029E-03,1.081E+00
0.18,2.700E-02,2.501E-02,2.918E-02,1.081E+00
0.2,7.494E-02,6.941E-02,8.096E-02,1.080E+00
0.25,4.569E-01,4.239E-01,4.930E-01,1.079E+00
0.3,1.679E+00,1.570E+00,1.797E+00,1.070E+00
0.35,6.278E+00,5.839E+00,6.749E+00,1.076E+00
0.4,2.546E+01,2.317E+01,2.802E+01,1.100E+00
0.45,9.115E+01,8.204E+01,1.014E+02,1.112E+00
0.5,2.677E+02,2.404E+02,2.985E+02,1.115E+00
0.6,1.397E+03,1.259E+03,1.552E+03,1.111E+00
0.7,4.593E+03,4.167E+03,5.069E+03,1.104E+00
0.8,1.127E+04,1.030E+04,1.236E+04,1.096E+00
0.9,2.281E+04,2.099E+04,2.484E+04,1.088E+00
1,4.048E+04,3.749E+04,4.379E+04,1.081E+00
1.25,1.192E+05,1.120E+05,1.272E+05,1.066E+00
1.5,2.637E+05,2.503E+05,2.784E+05,1.055E+00
1.75,4.735E+05,4.467E+05,5.444E+05,1.105E+00
2,7.643E+05,7.015E+05,1.084E+06,1.254E+00
2.5,1.562E+06,1.354E+06,3.053E+06,1.554E+00
3,2.747E+06,2.240E+06,6.842E+06,1.858E+00
3.5,4.360E+06,3.333E+06,1.320E+07,2.168E+00
4,6.422E+06,4.581E+06,2.288E+07,2.483E+00
5,1.189E+07,7.269E+06,5.515E+07,3.136E+00
6,1.907E+07,9.707E+06,1.089E+08,3.837E+00
7,2.776E+07,1.129E+07,1.882E+08,4.620E+00
8,3.774E+07,1.149E+07,2.964E+08,5.570E+00
9,4.879E+07,9.867E+06,4.356E+08,6.936E+00
10,6.077E+07,6.077E+06,6.077E+08,1.000E+01
