T9,adopted,low,high,fu
0.001,2.485E-63,2.033E-63,3.577E-63,1.402E+00
0.002,1.365E-48,1.138E-48,1.744E-48,1.271E+00
0.003,1.932E-41,1.623E-41,2.377E-41,1.225E+00
0.004,6.252E-37,5.277E-37,7.568E-37,1.203E+00
0.005,1.008E-33,8.534E-34,1.209E-33,1.193E+00
0.006,2.816E-31,2.390E-31,3.354E-31,1.186E+00
0.007,2.530E-29,2.149E-29,3.001E-29,1.183E+00
0.008,1.033E-27,8.789E-28,1.223E-27,1.181E+00
0.009,2.376E-26,2.023E-26,2.809E-26,1.179E+00
0.01,3.536E-25,3.012E-25,4.175E-25,1.178E+00
0.011,3.746E-24,3.193E-24,4.419E-24,1.177E+00
0.012,3.025E-23,2.579E-23,3.566E-23,1.177E+00
0.013,1.958E-22,1.670E-22,2.308E-22,1.176E+00
0.014,1.055E-21,9.005E-22,1.243E-21,1.176E+00
0.015,4.873E-21,4.161E-21,5.741E-21,1.176E+00
0.016,1.975E-20,1.686E-20,2.326E-20,1.176E+00
0.018,2.353E-19,2.010E-19,2.769E-19,1.175E+00
0.02,2.012E-18,1.724E-18,2.362E-18,1.172E+00
0.025,1.876E-16,1.621E-16,2.175E-16,1.160E+00
0.03,8.888E-15,7.340E-15,1.092E-14,1.224E+00
0.04,2.248E-12,1.753E-12,2.916E-12,1.297E+00
0.05,6.952E-11,5.402E-11,9.044E-11,1.301E+00
0.06,7.007E-10,5.528E-10,9.002E-10,1.282E+00
0.07,3.827E-09,3.097E-09,4.804E-09,1.250E+00
0.08,1.482E-08,1.234E-08,1.804E-08,1.212E+00
0.09,4.739E-08,4.048E-08,5.590E-08,1.178E+00
0.1,1.360E-07,1.184E-07,1.569E-07,1.153E+00
0.11,3.648E-07,3.217E-07,4.152E-07,1.138E+00
0.12,9.258E-07,8.245E-07,1.047E-06,1.128E+00
0.13,2.220E-06,1.992E-06,2.493E-06,1.120E+00
0.14,4.999E-06,4.511E-06,5.575E-06,1.113E+00
0.15,1.053E-05,9.552E-06,1.168E-05,1.107E+00
0.16,2.079E-05,1.893E-05,2.295E-05,1.102E+00
0.18,6.791E-05,6.220E-05,7.451E-05,1.095E+00
0.2,1.823E-04,1.674E-04,1.996E-04,1.093E+00
0.25,1.201E-03,1.102E-03,1.317E-03,1.094E+00
0.3,5.096E-03,4.673E-03,5.590E-03,1.095E+00
0.35,2.003E-02,1.846E-02,2.180E-02,1.088E+00
0.4,8.062E-02,7.413E-02,8.785E-02,1.089E+00
0.45,2.957E-01,2.702E-01,3.245E-01,1.097E+00
0.5,9.154E-01,8.333E-01,1.009E+00,1.101E+00
0.6,5.379E+00,4.889E+00,5.937E+00,1.103E+00
0.7,1.941E+01,1.768E+01,2.139E+01,1.101E+00
0.8,5.068E+01,4.626E+01,5.568E+01,1.098E+00
0.9,1.061E+02,9.708E+01,1.162E+02,1.095E+00
1,1.901E+02,1.743E+02,2.077E+02,1.092E+00
1.25,5.281E+02,4.861E+02,5.742E+02,1.087E+00
1.5,1.012E+03,9.348E+02,1.097E+03,1.084E+00
1.75,1.577E+03,1.460E+03,1.703E+03,1.081E+00
2,2.163E+03,2.008E+03,2.332E+03,1.078E+00
2.5,3.276E+03,3.052E+03,3.517E+03,1.074E+00
3,4.232E+03,3.954E+03,4.530E+03,1.071E+00
3.5,5.045E+03,4.721E+03,5.388E+03,1.069E+00
4,5.758E+03,5.390E+03,6.152E+03,1.069E+00
5,7.067E+03,6.581E+03,7.602E+03,1.076E+00
6,8.410E+03,7.749E+03,9.173E+03,1.089E+00
7,9.889E+03,8.988E+03,1.096E+04,1.105E+00
8,1.150E+04,1.032E+04,1.293E+04,1.120E+00
9,1.319E+04,1.170E+04,1.500E+04,1.133E+00
10,1.489E+04,1.308E+04,1.708E+04,1.144E+00
