T9,adopted,low,high
0.005,6.59e-26,5.22e-26,7.85e-26
0.006,1.14e-23,9.07e-24,1.36e-23
0.007,7.04e-22,5.59e-22,8.35e-22
0.008,2.11e-20,1.67e-20,2.49e-20
0.009,3.73e-19,2.97e-19,4.41e-19
0.01,4.43e-18,3.54e-18,5.23e-18
0.011,3.86e-17,3.09e-17,4.55e-17
0.012,2.63e-16,2.1e-16,3.09e-16
0.013,1.46e-15,1.17e-15,1.72e-15
0.014,6.85e-15,5.5e-15,8.04e-15
0.015,2.8e-14,2.25e-14,3.28e-14
0.016,1.01e-13,8.14e-14,1.18e-13
0.018,9.87e-13,7.96e-13,1.15e-12
0.02,7.02e-12,5.68e-12,8.18e-12
0.025,3.6e-10,2.94e-10,4.17e-10
0.03,7.3e-09,5.99e-09,8.41e-09
0.04,5.95e-07,4.94e-07,6.79e-07
0.05,1.38e-05,1.16e-05,1.56e-05
0.06,0.000153,0.000129,0.000173
0.07,0.00105,0.000889,0.00119
0.08,0.0052,0.00441,0.00591
0.09,0.0203,0.0173,0.0231
0.1,0.0665,0.0571,0.0754
0.11,0.19,0.164,0.215
0.12,0.487,0.421,0.55
0.13,1.14,0.991,1.29
0.14,2.49,2.17,2.82
0.15,5.13,4.45,5.81
0.16,10.0,8.67,11.4
0.18,33.8,29.0,38.6
0.2,99.1,84.5,114.0
0.25,900.0,761.0,1040.0
0.3,4760.0,4030.0,5490.0
0.35,17000.0,14400.0,19500.0
0.4,45800.0,39000.0,52600.0
0.45,100000.0,85700.0,115000.0
0.5,190000.0,162000.0,218000.0
0.6,497000.0,425000.0,569000.0
0.7,992000.0,847000.0,1140000.0
0.8,1660000.0,1430000.0,1910000.0
0.9,2500000.0,2130000.0,2870000.0
1.0,3470000.0,2960000.0,3980000.0
1.25,6380000.0,5400000.0,7360000.0
1.5,9880000.0,8280000.0,11500000.0
1.75,13900000.0,11400000.0,16300000.0
2.0,18200000.0,14800000.0,21700000.0
2.5,27100000.0,21700000.0,33300000.0
3.0,35700000.0,28000000.0,45200000.0
3.5,43200000.0,33500000.0,56800000.0
4.0,49300000.0,38000000.0,67900000.0
5.0,58400000.0,44400000.0,88400000.0
6.0,64000000.0,48400000.0,108000000.0
7.0,67600000.0,50800000.0,126000000.0
8.0,69800000.0,52300000.0,143000000.0
9.0,71200000.0,53100000.0,159000000.0
10.0,71900000.0,53600000.0,174000000.0
