T9,adopted,low,high
0.007,4.54e-25,3.87e-25,5.39e-25
0.008,1.34e-23,1.14e-23,1.59e-23
0.009,2.34e-22,2e-22,2.78e-22
0.01,2.75e-21,2.35e-21,3.26e-21
0.011,2.36e-20,2.02e-20,2.81e-20
0.012,1.59e-19,1.36e-19,1.89e-19
0.013,8.73e-19,7.46e-19,1.03e-18
0.014,4.05e-18,3.47e-18,4.8e-18
0.015,1.64e-17,1.4e-17,1.94e-17
0.016,5.86e-17,5.01e-17,6.93e-17
0.018,5.6e-16,4.78e-16,6.6e-16
0.02,3.9e-15,3.34e-15,4.6e-15
0.025,1.91e-13,1.63e-13,2.24e-13
0.03,3.7e-12,3.17e-12,4.34e-12
0.04,2.78e-10,2.38e-10,3.24e-10
0.05,5.97e-09,5.12e-09,6.94e-09
0.06,6.21e-08,5.32e-08,7.17e-08
0.07,4.03e-07,3.45e-07,4.63e-07
0.08,1.89e-06,1.62e-06,2.16e-06
0.09,6.98e-06,5.99e-06,7.95e-06
0.1,2.16e-05,1.85e-05,2.44e-05
0.11,5.82e-05,5e-05,6.57e-05
0.12,0.00014,0.00012,0.000158
0.13,0.000311,0.000267,0.000347
0.14,0.000641,0.000549,0.000714
0.15,0.00124,0.00106,0.00138
0.16,0.0023,0.00197,0.00255
0.18,0.007,0.00595,0.00777
0.2,0.0188,0.0159,0.0209
0.25,0.148,0.126,0.168
0.3,0.772,0.637,0.896
0.35,2.95,2.35,3.54
0.4,8.85,6.73,10.9
0.45,21.7,15.9,27.5
0.5,45.5,32.4,58.5
0.6,141.0,96.3,185.0
0.7,316.0,212.0,419.0
0.8,579.0,387.0,772.0
0.9,930.0,624.0,1240.0
1.0,1370.0,933.0,1810.0
1.25,2910.0,2100.0,3720.0
1.5,5200.0,4020.0,6400.0
1.75,8350.0,6780.0,9920.0
2.0,12300.0,10300.0,14200.0
2.5,21800.0,19000.0,24700.0
3.0,32100.0,28200.0,36000.0
3.5,41600.0,36600.0,46800.0
4.0,50000.0,43700.0,56400.0
5.0,62200.0,53800.0,70500.0
6.0,69000.0,59400.0,78700.0
7.0,72200.0,61700.0,82600.0
8.0,72900.0,62000.0,83700.0
9.0,72100.0,61100.0,83000.0
10.0,70300.0,59400.0,81200.0
