T9,adopted,low,high
0.001,1.43e-08,1.28e-08,1.58e-08
0.002,5.95e-05,5.31e-05,6.57e-05
0.003,0.00323,0.00289,0.00357
0.004,0.0395,0.0353,0.0436
0.005,0.234,0.209,0.258
0.006,0.901,0.805,0.995
0.007,2.64,2.36,2.91
0.008,6.38,5.7,7.04
0.009,13.4,12.0,14.8
0.01,25.4,22.7,28.0
0.011,44.4,39.7,48.9
0.012,72.5,64.9,79.9
0.013,112.0,101.0,124.0
0.014,167.0,149.0,184.0
0.015,239.0,214.0,263.0
0.016,331.0,296.0,364.0
0.018,588.0,527.0,648.0
0.02,964.0,864.0,1060.0
0.025,2580.0,2310.0,2840.0
0.03,5440.0,4880.0,5970.0
0.04,16000.0,14400.0,17500.0
0.05,34000.0,30700.0,37300.0
0.06,60400.0,54500.0,66000.0
0.07,95200.0,86100.0,104000.0
0.08,138000.0,125000.0,151000.0
0.09,189000.0,172000.0,206000.0
0.1,248000.0,225000.0,269000.0
0.11,313000.0,285000.0,340000.0
0.12,386000.0,351000.0,417000.0
0.13,464000.0,423000.0,502000.0
0.14,548000.0,501000.0,592000.0
0.15,638000.0,583000.0,688000.0
0.16,732000.0,670000.0,789000.0
0.18,936000.0,859000.0,1010000.0
0.2,1160000.0,1060000.0,1240000.0
0.25,1770000.0,1640000.0,1900000.0
0.3,2460000.0,2280000.0,2630000.0
0.35,3200000.0,2970000.0,3410000.0
0.4,3980000.0,3700000.0,4230000.0
0.45,4780000.0,4460000.0,5080000.0
0.5,5590000.0,5230000.0,5930000.0
0.6,7250000.0,6800000.0,7670000.0
0.7,8900000.0,8380000.0,9400000.0
0.8,10500000.0,9950000.0,11100000.0
0.9,12200000.0,11500000.0,12800000.0
1.0,13700000.0,13000000.0,14500000.0
1.25,17600000.0,16600000.0,18500000.0
1.5,21200000.0,20100000.0,22300000.0
1.75,24600000.0,23400000.0,25900000.0
2.0,27900000.0,26500000.0,29300000.0
2.5,33900000.0,32300000.0,35500000.0
3.0,39300000.0,37600000.0,41000000.0
3.5,44300000.0,42500000.0,46000000.0
4.0,48700000.0,47000000.0,50500000.0
5.0,56500000.0,54800000.0,58100000.0
6.0,62600000.0,61000000.0,64200000.0
7.0,67300000.0,65800000.0,68800000.0
8.0,72700000.0,71100000.0,74400000.0
9.0,77200000.0,75400000.0,78900000.0
10.0,81300000.0,80300000.0,84000000.0
