T9,adopted,low,high
0.001,1.45e-08,1.33e-08,1.57e-08
0.002,6.02e-05,5.52e-05,6.54e-05
0.003,0.00327,0.003,0.00355
0.004,0.04,0.0367,0.0434
0.005,0.236,0.217,0.257
0.006,0.912,0.838,0.989
0.007,2.67,2.45,2.9
0.008,6.46,5.94,7.0
0.009,13.6,12.5,14.7
0.01,25.7,23.7,27.9
0.011,44.9,41.3,48.7
0.012,73.4,67.6,79.6
0.013,114.0,105.0,123.0
0.014,169.0,156.0,183.0
0.015,242.0,223.0,262.0
0.016,335.0,309.0,363.0
0.018,596.0,549.0,645.0
0.02,977.0,901.0,1060.0
0.025,2620.0,2410.0,2830.0
0.03,5510.0,5100.0,5950.0
0.04,16200.0,15000.0,17400.0
0.05,34600.0,32100.0,37200.0
0.06,61400.0,57100.0,65900.0
0.07,96800.0,90200.0,104000.0
0.08,141000.0,131000.0,150000.0
0.09,193000.0,180000.0,206000.0
0.1,252000.0,237000.0,269000.0
0.11,319000.0,300000.0,340000.0
0.12,392000.0,369000.0,417000.0
0.13,472000.0,445000.0,502000.0
0.14,557000.0,526000.0,591000.0
0.15,647000.0,612000.0,687000.0
0.16,742000.0,702000.0,787000.0
0.18,944000.0,895000.0,1000000.0
0.2,1160000.0,1100000.0,1230000.0
0.25,1750000.0,1660000.0,1840000.0
0.3,2380000.0,2260000.0,2510000.0
0.35,3040000.0,2890000.0,3200000.0
0.4,3720000.0,3540000.0,3910000.0
0.45,4410000.0,4200000.0,4630000.0
0.5,5110000.0,4870000.0,5360000.0
0.6,6520000.0,6230000.0,6820000.0
0.7,7930000.0,7610000.0,8270000.0
0.8,9340000.0,8990000.0,9710000.0
0.9,10700000.0,10400000.0,11100000.0
1.0,12100000.0,11700000.0,12500000.0
1.25,15400000.0,15000000.0,15900000.0
1.5,18600000.0,18100000.0,19000000.0
1.75,21500000.0,21100000.0,21900000.0
2.0,24300000.0,23800000.0,24700000.0
2.5,29400000.0,28900000.0,29800000.0
3.0,34000000.0,33500000.0,34400000.0
3.5,38200000.0,37700000.0,38600000.0
4.0,42100000.0,41700000.0,42500000.0
5.0,49100000.0,48800000.0,49500000.0
6.0,55400000.0,55100000.0,55800000.0
7.0,61000000.0,60700000.0,61400000.0
8.0,65900000.0,65500000.0,66300000.0
9.0,70000000.0,69600000.0,70300000.0
10.0,73300000.0,72900000.0,73600000.0
