T9,adopted,low,high
0.001,1.87e-07,1.67e-07,2.09e-07
0.002,0.00137,0.00122,0.00153
0.003,0.0998,0.089,0.111
0.004,1.47,1.31,1.64
0.005,9.93,8.86,11.1
0.006,42.4,37.8,47.1
0.007,135.0,120.0,150.0
0.008,349.0,312.0,387.0
0.009,780.0,701.0,862.0
0.01,1560.0,1410.0,1710.0
0.011,2850.0,2590.0,3120.0
0.012,4870.0,4440.0,5310.0
0.013,7850.0,7190.0,8530.0
0.014,12100.0,11100.0,13100.0
0.015,17900.0,16500.0,19300.0
0.016,25600.0,23700.0,27500.0
0.018,48100.0,44800.0,51600.0
0.02,83000.0,77400.0,88700.0
0.025,247000.0,232000.0,263000.0
0.03,570000.0,534000.0,606000.0
0.04,1930000.0,1810000.0,2060000.0
0.05,4620000.0,4300000.0,4930000.0
0.06,8980000.0,8340000.0,9630000.0
0.07,15200000.0,14100000.0,16400000.0
0.08,23400000.0,21600000.0,25200000.0
0.09,33500000.0,30900000.0,36100000.0
0.1,45200000.0,41700000.0,48800000.0
0.11,58500000.0,54000000.0,63000000.0
0.12,73000000.0,67300000.0,78600000.0
0.13,88400000.0,81600000.0,95200000.0
0.14,105000000.0,96600000.0,113000000.0
0.15,121000000.0,112000000.0,131000000.0
0.16,138000000.0,128000000.0,149000000.0
0.18,173000000.0,160000000.0,185000000.0
0.2,206000000.0,191000000.0,221000000.0
0.25,283000000.0,263000000.0,304000000.0
0.3,347000000.0,323000000.0,372000000.0
0.35,398000000.0,370000000.0,425000000.0
0.4,436000000.0,407000000.0,466000000.0
0.45,465000000.0,434000000.0,496000000.0
0.5,485000000.0,453000000.0,517000000.0
0.6,510000000.0,477000000.0,542000000.0
0.7,519000000.0,486000000.0,551000000.0
0.8,519000000.0,487000000.0,550000000.0
0.9,513000000.0,482000000.0,544000000.0
1.0,504000000.0,474000000.0,534000000.0
1.25,476000000.0,448000000.0,504000000.0
1.5,447000000.0,421000000.0,473000000.0
1.75,419000000.0,395000000.0,443000000.0
2.0,394000000.0,371000000.0,417000000.0
2.5,352000000.0,332000000.0,372000000.0
3.0,319000000.0,300000000.0,337000000.0
3.5,292000000.0,275000000.0,309000000.0
4.0,270000000.0,254000000.0,286000000.0
5.0,237000000.0,223000000.0,252000000.0
6.0,214000000.0,201000000.0,227000000.0
7.0,197000000.0,184000000.0,209000000.0
8.0,183000000.0,172000000.0,195000000.0
9.0,173000000.0,162000000.0,184000000.0
10.0,164000000.0,154000000.0,175000000.0
