T9,adopted,low,high
0.003,4.9e-23,4.41e-23,5.45e-23
0.004,8.69e-20,7.83e-20,9.67e-20
0.005,1.77e-17,1.59e-17,1.97e-17
0.006,1.02e-15,9.17e-16,1.13e-15
0.007,2.58e-14,2.33e-14,2.87e-14
0.008,3.72e-13,3.35e-13,4.13e-13
0.009,3.53e-12,3.18e-12,3.93e-12
0.01,2.45e-11,2.21e-11,2.73e-11
0.011,1.34e-10,1.2e-10,1.48e-10
0.012,5.98e-10,5.38e-10,6.64e-10
0.013,2.28e-09,2.05e-09,2.53e-09
0.014,7.62e-09,6.87e-09,8.47e-09
0.015,2.28e-08,2.06e-08,2.53e-08
0.016,6.22e-08,5.6e-08,6.9e-08
0.018,3.66e-07,3.3e-07,4.06e-07
0.02,1.68e-06,1.51e-06,1.87e-06
0.025,3.55e-05,3.2e-05,3.94e-05
0.03,0.000362,0.000326,0.000402
0.04,0.0106,0.00954,0.0118
0.05,0.116,0.104,0.13
0.06,0.715,0.643,0.814
0.07,3.06,2.74,3.51
0.08,10.2,9.13,11.8
0.09,28.6,25.6,33.3
0.1,71.3,63.7,83.1
0.11,162.0,145.0,189.0
0.12,343.0,306.0,396.0
0.13,678.0,607.0,780.0
0.14,1260.0,1130.0,1440.0
0.15,2220.0,1990.0,2520.0
0.16,3690.0,3330.0,4190.0
0.18,8960.0,8080.0,10100.0
0.2,18700.0,16900.0,20900.0
0.25,73500.0,66700.0,82100.0
0.3,192000.0,174000.0,213000.0
0.35,397000.0,360000.0,440000.0
0.4,713000.0,648000.0,789000.0
0.45,1170000.0,1060000.0,1290000.0
0.5,1800000.0,1640000.0,1990000.0
0.6,3750000.0,3410000.0,4120000.0
0.7,6820000.0,6220000.0,7490000.0
0.8,11200000.0,10200000.0,12300000.0
0.9,17000000.0,15500000.0,18700000.0
1.0,24200000.0,22000000.0,26700000.0
1.25,47100000.0,42700000.0,52100000.0
1.5,74300000.0,67100000.0,82500000.0
1.75,103000000.0,92600000.0,115000000.0
2.0,131000000.0,117000000.0,146000000.0
2.5,180000000.0,161000000.0,203000000.0
3.0,220000000.0,195000000.0,248000000.0
3.5,251000000.0,222000000.0,284000000.0
4.0,275000000.0,242000000.0,312000000.0
5.0,308000000.0,269000000.0,351000000.0
6.0,330000000.0,286000000.0,377000000.0
7.0,346000000.0,297000000.0,396000000.0
8.0,357000000.0,304000000.0,410000000.0
9.0,365000000.0,309000000.0,420000000.0
10.0,370000000.0,313000000.0,428000000.0
