T_keV,Palpha_per_ne2_Wm3_adopted,Palpha_per_ne2_Wm3_low,Palpha_per_ne2_Wm3_high
0.08617346718945237,9.338872502679013e-51,8.531470975109406e-51,1.0146274030248622e-50
0.17234693437890475,3.878664034591284e-47,3.540610538147919e-47,4.2252656432927253e-47
0.2585204015683571,2.106633446252038e-45,1.9246954036673163e-45,2.2939363404920397e-45
0.3446938687578095,2.5768048949767493e-44,2.3539513782504266e-44,2.8039324678321096e-44
0.43086733594726184,1.5213511437862105e-43,1.3921490741798882e-43,1.6601921211768504e-43
0.5170408031367142,5.875551478757484e-43,5.373836085747716e-43,6.391179835680606e-43
0.6032142703261666,1.720385410887086e-42,1.5718163997362045e-42,1.8732284781670066e-42
0.689387737515619,4.161621715051918e-42,3.808475333193031e-42,4.52331620916888e-42
0.7755612047050713,8.757864256342225e-42,8.015019200587816e-42,9.500709312096633e-42
0.8617346718945237,1.6558289390718873e-41,1.5190804267578044e-41,1.8022163591702877e-41
0.9479081390839761,2.893131606871223e-41,2.648729557547859e-41,3.1460817684526634e-41
1.0340816062734284,4.728627871499426e-41,4.33456601549894e-41,5.141967543068548e-41
1.1202550734628807,7.33762187640785e-41,6.734797719546247e-41,7.951353988531862e-41
1.2064285406523332,1.0888227826243783e-40,9.994453916334163e-41,1.1824742297443793e-40
1.2926020078417855,1.558994231349089e-40,1.4297921617427669e-40,1.6924703570844497e-40
1.378775475031238,2.1582786237041973e-40,1.980614637248514e-40,2.3444907224179575e-40
1.5511224094101426,3.838839355975924e-40,3.5201528010771186e-40,4.167164818659046e-40
1.7234693437890474,6.292986954503794e-40,5.776178676078507e-40,6.842986012411075e-40
2.1543366797363093,1.687016379453246e-39,1.544903015483884e-39,1.8280389478963674e-39
2.585204015683571,3.5494260283337696e-39,3.268382560997843e-39,3.8432916640568106e-39
3.4469386875780947,1.0436332523537393e-38,9.618023040705379e-39,1.1243734051107e-38
4.3086733594726185,2.227109151648435e-38,2.0569916079005118e-38,2.4025915470516365e-38
5.170408031367142,3.9528594141908e-38,3.657813856965593e-38,4.255362288147843e-38
6.032142703261666,6.231613743291393e-38,5.778271141155063e-38,6.713873068780678e-38
6.8938773751561895,9.06973866015581e-38,8.391450076216599e-38,9.69437872754223e-38
7.755612047050713,1.2415767239283743e-37,1.1532901284636529e-37,1.3298633193930955e-37
8.617346718945237,1.6224599076380473e-37,1.5168988357053231e-37,1.736569091828848e-37
9.479081390839761,2.052806677747398e-37,1.9203322215623534e-37,2.1949200417167597e-37
10.340816062734284,2.5240689219983493e-37,2.362499490508503e-37,2.6920048746937907e-37
11.202550734628808,3.038339105467458e-37,2.8487654941990507e-37,3.240734885122981e-37
12.064285406523332,3.5859783203704073e-37,3.36840052932344e-37,3.816378279804491e-37
12.926020078417855,4.166986566707197e-37,3.919223004829186e-37,4.4361204092304e-37
13.787754750312379,4.779182253425345e-37,4.496958864587254e-37,5.082775922908628e-37
15.511224094101426,6.0854045751448425e-37,5.7385355885156275e-37,6.466555136782289e-37
17.234693437890474,7.488550730563062e-37,7.057580078622242e-37,7.951353988531862e-37
21.543366797363092,1.1319198478184608e-36,1.0694558410798189e-36,1.1943838545571025e-36
25.85204015683571,1.545170393411658e-36,1.4611578540759747e-36,1.633456988876379e-36
30.160713516308327,1.979969471601896e-36,1.8744083996691714e-36,2.088713804137418e-36
34.46938687578095,2.429861435207655e-36,2.30275183067789e-36,2.5590635048139773e-36
38.77806023525356,2.887299841521175e-36,2.73973249992061e-36,3.0380504437245384e-36
43.086733594726184,3.351193895016215e-36,3.183168816344848e-36,3.5224022342903785e-36
51.70408031367142,4.288710035766537e-36,4.0840435390826085e-36,4.495468997527023e-36
60.321427032616654,5.2251353809906177e-36,4.9967387606571664e-36,5.462080113582146e-36
68.9387737515619,6.156106748583495e-36,5.908343186705485e-36,6.420053991403267e-36
77.55612047050712,7.071161813162384e-36,6.833860576667158e-36,7.351203610947995e-36
86.17346718945237,7.985860373837576e-36,7.694910620789557e-36,8.287718082148e-36
107.71683398681546,1.018167167531358e-35,9.85799805647834e-36,1.0548085855439202e-35
129.26020078417855,1.229111059444957e-35,1.1902880503799133e-35,1.262569216854722e-35
150.80356758154164,1.4217788053402374e-35,1.387229852404232e-35,1.4574185538024836e-35
172.34693437890473,1.6079909040539977e-35,1.565895508410232e-35,1.6447214480424844e-35
215.43366797363092,1.9470460700476785e-35,1.902769083351431e-35,1.9859582050886468e-35
258.5204015683571,2.252732204607519e-35,2.2073644223850304e-35,2.2927351351747285e-35
301.6071351630833,2.53259575044128e-35,2.4861371726925506e-35,2.5725986810084886e-35
344.69386875780947,2.7898199681517583e-35,2.74981703758455e-35,2.830913694245208e-35
430.86733594726184,3.250441635068076e-35,3.2158035561561466e-35,3.2893537701090455e-35
517.0408031367142,3.6549658164513477e-35,3.621418533065658e-35,3.693877951492316e-35
603.2142703261666,4.006664898880294e-35,3.974208411020846e-35,4.0444862383950223e-35
689.3877375156189,4.328445588405972e-35,4.2895334533650037e-35,4.3684485189731814e-35
775.5612047050713,4.59749030495325e-35,4.556396578859801e-35,4.63212838386518e-35
861.7346718945237,4.819253026153332e-35,4.786885664269809e-35,4.864799060327669e-35
