T_keV,sv_m3_per_s_adopted,sv_m3_per_s_low,sv_m3_per_s_high,Palpha_per_ne2_Wm3_adopted,Palpha_per_ne2_Wm3_low,Palpha_per_ne2_Wm3_high,Pbrem_per_ne2_Wm3
1.0,6.591434202973114e-27,6.001622389143732e-27,7.19881795832203e-27,9.240561631482946e-40,8.413701763230177e-40,1.0092055684587752e-39,6.445805900205062e-37
1.0174634027476068,7.328282900153682e-27,6.67660437574149e-27,7.99651757727677e-27,1.0273553176221987e-39,9.359962084615775e-40,1.1210354413722742e-39,6.5024212901838155e-37
1.0352317759307386,8.141454594274971e-27,7.422998226326331e-27,8.876590396082654e-27,1.1413542278004397e-39,1.0406335023388055e-39,1.2444132506918382e-39,6.559544046919901e-37
1.0533104453709372,9.037309889366416e-27,8.24773833749602e-27,9.84600049775236e-27,1.2669445896589998e-39,1.1562541941721865e-39,1.3803152943869802e-39,6.617178980199646e-37
1.071704829896711,1.0024033620818778e-26,9.158359392350138e-27,1.0913151541758592e-26,1.4052738389992982e-39,1.2839145746173103e-39,1.5299196853068356e-39,6.675330952116929e-37
1.0904204429677524,1.1111523604613177e-26,1.016315370760212e-26,1.2088375016687467e-26,1.5577295551519353e-39,1.4247771473311763e-39,1.6946747995420267e-39,6.7340048778039665e-37
1.109462894327522,1.231102059662072e-26,1.1271144653292188e-26,1.3383318586718972e-26,1.725887584802365e-39,1.580106902669643e-39,1.876213528439166e-39,6.793205726175722e-37
1.128837891684689,1.3635198484163093e-26,1.2491938601392266e-26,1.4811089382691336e-26,1.911524685986854e-39,1.7512505622949165e-39,2.0763733666404353e-39,6.8529385206882156e-37
1.1485512424239381,1.5096171224085688e-26,1.3834940616871783e-26,1.638467790650927e-26,2.1163391198331612e-39,1.939526626548833e-39,2.2969754585247044e-39,6.9132083401111034e-37
1.1686088553466514,1.6705345771829047e-26,1.53125533037548e-26,1.8115929396408585e-26,2.34193003262008e-39,2.1466738221386018e-39,2.539680393435462e-39,6.974020319314814e-37
1.1890167424419895,1.8474519422108515e-26,1.6939170087163366e-26,2.0016866073597615e-26,2.589951292467127e-39,2.374709969887928e-39,2.806173572039725e-39,7.035379650072569e-37
1.2097810206889015,2.0415780330292128e-26,1.873103415587859e-26,2.2099654579244832e-26,2.8620975433811997e-39,2.625912209830402e-39,3.098160641304503e-39,7.097291581877672e-37
1.2309079138896024,2.2543414766558483e-26,2.0704578405077721e-26,2.4378441413976547e-26,3.160371584085675e-39,2.902584277025695e-39,3.4176248055959757e-39,7.1597614227763735e-37
1.252403754535073,2.4875319801461354e-26,2.2875307054339144e-26,2.687205803638347e-26,3.4872824130531545e-39,3.2068997150782855e-39,3.767206055671233e-39,7.222794540216687e-37
1.2742749857031337,2.743129220855176e-26,2.5259558464356222e-26,2.9601942767727566e-26,3.84560534898469e-39,3.5411490062154905e-39,4.14990983955261e-39,7.28639636191353e-37
1.2965281629896683,3.0233357892230034e-26,2.7874534960585426e-26,3.25921134628725e-26,4.238428213450415e-39,3.907743752278283e-39,4.569103231252976e-39,7.35057237673055e-37
1.3191699564735717,3.3305836887164626e-26,3.0744180015557034e-26,3.586507285623838e-26,4.6691604431876657e-39,4.3100405995863335e-39,5.027940899360118e-39,7.415328135579051e-37
1.3422071527160124,3.6668997057453174e-26,3.3888985631537433e-26,3.944345945795016e-26,5.140643399295796e-39,4.750912331270964e-39,5.5295965469197306e-39,7.480669252334376e-37
1.3656466567946106,4.034125286558111e-26,3.732521162252107e-26,4.3352670294588826e-26,5.6554586136579656e-39,5.2326384180619936e-39,6.077630594655911e-39,7.546601404770188e-37
1.3894954943731377,4.434236351756085e-26,4.107036986490559e-26,4.762154991748573e-26,6.21637613836488e-39,5.7576738578878294e-39,6.676086773357774e-39,7.61313033551105e-37
1.4137608138073605,4.8709812225218996e-26,4.5162465651117186e-26,5.229284975944663e-26,6.828650761955175e-39,6.331346630004161e-39,7.330958425862568e-39,7.680261853003729e-37
1.4384498882876628,5.34785577186096e-26,4.963453362580972e-26,5.740253106989094e-26,7.497183364717957e-39,6.958287876291469e-39,8.047286976105851e-39,7.748001832507671e-37
1.46357011801908,5.86839007981651e-26,5.451872133908126e-26,6.298592451832877e-26,8.226922781944483e-39,7.643004376440405e-39,8.830025446738481e-39,7.816356217105078e-37
1.4891290324394097,6.436425754980989e-26,5.984955641897905e-26,6.908018516282485e-26,9.023254582218056e-39,8.390336574353384e-39,9.684382622273754e-39,7.88533101873108e-37
1.515134292476053,7.056145042156483e-26,6.566408736221615e-26,7.572421519514789e-26,9.892041873575805e-39,9.205478315659275e-39,1.06158122186947e-38,7.954932319224429e-37
1.5415936928422724,7.732102889309384e-26,7.200202903513331e-26,8.295855091476749e-26,1.0839670258318462e-38,1.0093997245559514e-38,1.1629997038287234e-38,8.025166271399239e-37
1.5685151643735473,8.469543195494652e-26,7.890730845408687e-26,9.083015683145513e-26,1.1873491182415824e-38,1.1062051512484757e-38,1.273352105706738e-38,8.096039100138247e-37
1.5959067764047312,9.274386540535834e-26,8.642934679275983e-26,9.940220280601853e-26,1.3001804733689283e-38,1.2116569493283733e-38,1.3935240086594063e-38,8.167557103508102e-37
1.6237767391887217,1.0151304372015877e-25,9.461434282826693e-26,1.0872631570817374e-25,1.4231159835782649e-38,1.3264027815562542e-38,1.5242391721247525e-38,8.239726653897206e-37
1.65213340635737,1.1104851120465463e-25,1.035099086430557e-25,1.1885416200415467e-25,1.5567941365601177e-38,1.451110123884562e-38,1.6662219106461884e-38,8.312554199176674e-37
1.6809852774253642,1.2139495737610382e-25,1.1316536569258493e-25,1.2983850828899044e-25,1.7018414366924208e-38,1.5864704160438422e-38,1.8202119615228134e-38,8.386046263884874e-37
1.7103410003378408,1.3259536742729288e-25,1.2363153204580005e-25,1.417328047588949e-25,1.858860495350717e-38,1.733196078857277e-38,1.9869586454898727e-38,8.46020945043622e-37
1.7402093740624849,1.4470405403580412e-25,1.3497124878998465e-25,1.546023181962726e-25,2.0286127244358394e-38,1.8921680843897492e-38,2.1673769405426337e-38,8.535050440354716e-37
1.7705993512268987,1.5784286617293894e-25,1.4729849570988178e-25,1.6856880184946444e-25,2.2128063302263784e-38,2.0649843204350662e-38,2.363173711015145e-38,8.610575995532857e-37
1.8015200408020253,1.7210172189353997e-25,1.6069834109330513e-25,1.83726322898296e-25,2.412701878028715e-38,2.2528373631947358e-38,2.575667688985904e-38,8.686792959516522e-37
1.8329807108324359,1.875690069644684e-25,1.7525490607461999e-25,2.001688403167352e-25,2.6295384519342275e-38,2.456906510682932e-38,2.8061760895905653e-38,8.763708258816442e-37
1.8649907912142971,2.043394211209692e-25,1.9105761714256591e-25,2.179969370321106e-25,2.864643651844651e-38,2.6784454369184484e-38,3.056108989468648e-38,8.841328904246904e-37
1.8975598765218502,2.2251437027961155e-25,2.0820137039193744e-25,2.3731820809556448e-25,3.119439091923155e-38,2.9187844945764894e-38,3.326974768542802e-38,8.919661992292342e-37
1.93069772888325,2.422023780911108e-25,2.2678667691439868e-25,2.5824766388149264e-25,3.395446170172099e-38,3.179332753229122e-38,3.6203857624901164e-38,8.998714706502472e-37
1.9644142809066278,2.63519517366883e-25,2.4691978521068026e-25,2.8090814811301904e-25,3.69429211662155e-38,3.461579715447444e-38,3.9380641230602904e-38,9.07849431891666e-37
1.9987196386572506,2.8658986189058757e-25,2.687127761343415e-25,3.0543077040634466e-25,4.017716327295882e-38,3.767096647822505e-38,4.2818478819345615e-38,9.159008191518253e-37
2.0336240846866733,3.1154595909896934e-25,2.922836255049666e-25,3.319553529122828e-25,4.367576990748024e-38,4.09753745874256e-38,4.65369721221373e-38,9.24026377771957e-37
2.0691380811147897,3.3852932408466684e-25,3.17756229161661e-25,3.6063089050815545e-25,4.745858013507333e-38,4.4546390496191743e-38,5.055700879869318e-38,9.32226862387826e-37
2.105272272765707,3.6769095533711766e-25,3.452603848726684e-25,3.9161602385700847e-25,5.154676250274841e-38,4.840221061277319e-38,5.490082875582249e-38,9.405030370845908e-37
2.1420374903583843,3.9919187259584283e-25,3.7493172518119256e-25,4.250795245035649e-25,5.596289044112938e-38,5.256184932517892e-38,5.959209215325119e-38,9.488556755549494e-37
2.1794447537529855,4.332090285957014e-25,4.069176846284026e-25,4.612059659744346e-25,6.073177103471368e-38,5.704597554888817e-38,6.465667443774334e-38,9.572855612606667e-37
2.217505275253932,4.699399362008442e-25,4.413933846252776e-25,5.002021298550257e-25,6.58810937018888e-38,6.187913963426953e-38,7.012356441394115e-38,9.65793487597554e-37
2.2562304629706342,5.095734592411526e-25,4.78533677118304e-25,5.422697761493768e-25,7.143733534898854e-38,6.708585415534163e-38,7.602104690870743e-38,9.743802580639899e-37
2.2956319242369094,5.52306154283964e-25,5.185227310751219e-25,5.876199894036823e-25,7.742805133071454e-38,7.269193784356228e-38,8.23787139607169e-38,9.830466864330699e-37
2.3357214690901222,5.983435932833088e-25,5.615557421497048e-25,6.364746016116167e-25,8.388206087293522e-38,7.872475526656878e-38,8.922766429820172e-38,9.917935969284678e-37
2.3765111138110746,6.479002269084645e-25,6.078394718446824e-25,6.890662933781157e-25,9.08294279126535e-38,8.521329241358947e-38,9.660051752114802e-38,1.0006218244041042e-36
2.418013084525721,7.011991598180671e-25,6.575928053189487e-25,7.456386347146928e-25,9.830142959358216e-38,9.218823489474643e-38,1.0453141982040994e-37,1.009532214527714e-36
2.460239820869776,7.584718277696535e-25,7.110473280461168e-25,8.064460572326919e-25,1.063305109999835e-37,9.968204878306687e-38,1.1305604007946901e-37,1.0185256239684064e-36
2.503203979717325,8.199575661175074e-25,7.68447921507468e-25,8.717537490519297e-25,1.149502246641858e-37,1.07729064124949e-37,1.222115551416289e-37,1.0276029205883188e-36
2.5469184389745405,8.859030590065617e-25,8.300533780800853e-25,9.418374633297154e-25,1.241951533488257e-37,1.1636556114160956e-37,1.3203662296761142e-37,1.036764983638461e-36
2.591396301439659,9.565640402100739e-25,8.961388573946815e-25,1.0169857811626949e-24,1.3410114848805648e-37,1.256301145870065e-37,1.4257169987279688e-37,1.0460127039588543e-36
2.636650898730358,1.0323727505569965e-24,9.671180759348885e-25,1.097676506322834e-24,1.4472880612056392e-37,1.3558072356341767e-37,1.5388376938560485e-37,1.0553469841830725e-36
2.6826957952797255,1.1137678711987806e-24,1.0433958521156623e-24,1.1843862885741486e-24,1.561396251567782e-37,1.4627413974882046e-37,1.660396532535547e-37,1.064768738947292e-36
2.7295447924020064,1.2011268960881646e-24,1.1253291850529936e-24,1.277524140011393e-24,1.6838652664587281e-37,1.5776041101188975e-37,1.7909669106850488e-37,1.0742788951039582e-36
