T_keV,Pdt_per_ne2_Wm3_adopted,Pdt_per_ne2_Wm3_low,Pdt_per_ne2_Wm3_high,Pdd_fullboost_inDT_per_ne2_Wm3_adopted,Ptotal_dt_plus_fullboostdd_per_ne2_Wm3_adopted,Pdd_fullboost_inDT_per_ne2_Wm3_low,Ptotal_dt_plus_fullboostdd_per_ne2_Wm3_low,Pdd_fullboost_inDT_per_ne2_Wm3_high,Ptotal_dt_plus_fullboostdd_per_ne2_Wm3_high,Pbrem_per_ne2_Wm3
1.0,9.240561631482946e-40,8.413701763230177e-40,1.0092055684587752e-39,5.378905958194108e-41,9.778452227302356e-40,4.928287551878653e-41,8.906530518418042e-40,5.849127397904821e-41,1.0676968424378235e-39,6.445805900205062e-37
1.0174634027476068,1.0273553176221987e-39,9.359962084615775e-40,1.1210354413722742e-39,5.931268886954503e-41,1.0866680064917437e-39,5.435723472465775e-41,9.903534431862353e-40,6.449755110241127e-41,1.1855329924746854e-39,6.502421290183816e-37
1.0352317759307386,1.1413542278004395e-39,1.0406335023388055e-39,1.2444132506918382e-39,6.539212753330967e-41,1.2067463553337491e-39,5.994372279231486e-41,1.1005772251311204e-39,7.110476596357441e-41,1.3155180166554127e-39,6.559544046919901e-37
1.0533104453709372,1.2669445896589998e-39,1.1562541941721864e-39,1.3803152943869802e-39,7.191152866091211e-41,1.338856118319912e-39,6.593828042302511e-41,1.2221924745952115e-39,7.813497931498235e-41,1.4584502737019626e-39,6.617178980199646e-37
1.071704829896711,1.4052738389992982e-39,1.2839145746173104e-39,1.5299196853068356e-39,7.90808947409614e-41,1.4843547337402595e-39,7.253231235252738e-41,1.3564468869698378e-39,8.586027827839463e-41,1.61577996358523e-39,6.675330952116929e-37
1.0904204429677524,1.5577295551519353e-39,1.4247771473311763e-39,1.6946747995420267e-39,8.696502535107828e-41,1.6446945805030136e-39,7.978576786433029e-41,1.5045629151955067e-39,9.43493868005659e-41,1.7890241863425925e-39,6.734004877803967e-37
1.109462894327522,1.725887584802365e-39,1.580106902669643e-39,1.8762135284391657e-39,9.563518039454117e-41,1.821522765196906e-39,8.7764591355662e-41,1.667871494025305e-39,1.0367782364715204e-40,1.9798913520863177e-39,6.793205726175722e-37
1.128837891684689,1.911524685986854e-39,1.7512505622949165e-39,2.0763733666404357e-39,1.0503837183905145e-40,2.0165630578259053e-39,9.640966446006962e-41,1.847660226754986e-39,1.1384958444106047e-40,2.190222951081496e-39,6.852938520688216e-37
1.148551242423938,2.116339119833161e-39,1.939526626548833e-39,2.2969754585247044e-39,1.1518339667657612e-40,2.231522516509737e-39,1.0572315067045191e-40,2.0452497772192848e-39,1.249093606359618e-40,2.421884819160666e-39,6.913208340111104e-37
1.1686088553466514,2.3419300326200802e-39,2.1466738221386015e-39,2.539680393435462e-39,1.263082684705205e-40,2.4682383010906005e-39,1.1593634984920293e-40,2.2626101719878043e-39,1.370435250254408e-40,2.6767239184609027e-39,6.974020319314814e-37
1.1890167424419895,2.589951292467127e-39,2.3747099698879278e-39,2.806173572039725e-39,1.3850762474749742e-40,2.7284589172146242e-39,1.27136177186532e-40,2.50184614707446e-39,1.503564477135874e-40,2.956530019753312e-39,7.035379650072569e-37
1.2097810206889017,2.8620975433812e-39,2.6259122098304018e-39,3.098160641304503e-39,1.5183343078601743e-40,3.013930974167217e-39,1.3936517173305817e-40,2.76527738156346e-39,1.6489046345596255e-40,3.263051104760465e-39,7.097291581877672e-37
1.2309079138896024,3.160371584085675e-39,2.9025842770256947e-39,3.4176248055959757e-39,1.6614407564955683e-40,3.326515659735232e-39,1.5246775066818304e-40,3.055052027693878e-39,1.804153000939908e-40,3.5980401056899664e-39,7.1597614227763735e-37
1.252403754535073,3.4872824130531545e-39,3.2068997150782855e-39,3.767206055671233e-39,1.8180353121539423e-40,3.6690859442685486e-39,1.6680218382209376e-40,3.373701898900379e-39,1.974018377157259e-40,3.964607893386959e-39,7.222794540216687e-37
1.2742749857031337,3.84560534898469e-39,3.5411490062154905e-39,4.14990983955261e-39,1.989389259482451e-40,4.044544274932935e-39,1.8248428540387495e-40,3.723633291619366e-39,2.159876990102519e-40,4.365897538562862e-39,7.28639636191353e-37
1.2965281629896683,4.2384282134504145e-39,3.907743752278283e-39,4.5691032312529754e-39,2.175819912906932e-40,4.456010204741108e-39,1.9955552666532195e-40,4.107299278943605e-39,2.3621742811387176e-40,4.805320659366847e-39,7.35057237673055e-37
